filename,class,width,height,xmin,ymin,xmax,ymax
IMG_1763.JPG,watch,285,1070,2150,1673,2435,2743
IMG_1755.JPG,watch,285,1204,2033,636,2318,1840
IMG_1766.JPG,watch,319,1154,2654,2258,2973,3412
IMG_1692.JPG,watch,771,1360,856,1378,1627,2738
IMG_1683.JPG,watch,392,2051,2155,485,2547,2536
IMG_1734.JPG,watch,21,1841,1935,1057,1956,2898
IMG_1667.JPG,watch,641,1959,1860,303,2501,2262
IMG_1689.JPG,watch,25,2574,1813,826,1838,3400
IMG_1679.JPG,watch,733,1824,1759,948,2492,2772
IMG_1728.JPG,watch,147,1752,2294,1340,2441,3092
IMG_1722.JPG,watch,771,1074,359,2422,1130,3496
IMG_1669.JPG,watch,185,2131,2176,337,2361,2468
IMG_1703.JPG,watch,67,1259,1320,973,1387,2232
IMG_1664.JPG,watch,459,1643,1949,269,2408,1912
IMG_1696.JPG,watch,1467,1563,439,1407,1906,2970
IMG_1721.JPG,watch,822,1579,1565,696,2387,2275
IMG_1747.JPG,watch,1358,1270,1056,1466,2414,2736
IMG_1752.JPG,watch,109,1478,2910,957,3019,2435
IMG_1717.JPG,watch,1156,297,1766,1658,2922,1955
IMG_1701.JPG,watch,708,1803,1185,219,1893,2022
IMG_1760.JPG,watch,889,1626,1451,514,2340,2140
IMG_1715.JPG,watch,312,2540,2488,653,2800,3193
IMG_1753.JPG,watch,223,1702,2307,589,2530,2291
IMG_1743.JPG,watch,257,606,2370,2090,2627,2696
IMG_1672.JPG,watch,328,1504,2303,328,2631,1832
IMG_1727.JPG,watch,1231,244,1793,2848,3024,3092
IMG_1716.JPG,watch,122,1002,1548,2090,1670,3092
IMG_1749.JPG,watch,792,1782,1806,766,2598,2548
IMG_1737.JPG,watch,177,918,1463,2182,1640,3100
IMG_1698.JPG,watch,535,1167,886,1457,1421,2624
IMG_1691.JPG,watch,1130,1255,1742,442,2872,1697
IMG_1756.JPG,watch,485,1655,1771,704,2256,2359
IMG_1709.JPG,watch,970,1504,1008,1512,1978,3016
IMG_1706.JPG,watch,915,1803,839,973,1754,2776
IMG_1764.JPG,watch,63,1078,1923,2330,1986,3408
IMG_1673.JPG,watch,286,2338,2236,434,2522,2772
IMG_1750.JPG,watch,957,720,1721,1925,2678,2645
IMG_1732.JPG,watch,1007,1082,1156,1804,2163,2886
IMG_1680.JPG,watch,261,1550,1927,522,2188,2072
IMG_1668.JPG,watch,379,2106,1881,333,2260,2439
IMG_1733.JPG,watch,455,50,1729,2275,2184,2325
IMG_1712.JPG,watch,151,1314,2371,1420,2522,2734
IMG_1720.JPG,watch,1113,914,1801,1331,2914,2245
IMG_1762.JPG,watch,143,1432,2404,468,2547,1900
IMG_1707.JPG,watch,1202,943,1754,594,2956,1537
IMG_1670.JPG,watch,244,2043,2235,383,2479,2426
IMG_1671.JPG,watch,151,2106,2198,438,2349,2544
IMG_1746.JPG,watch,1753,995,1343,1997,3096,2992
IMG_1666.JPG,watch,594,2018,2041,282,2635,2300
IMG_1694.JPG,watch,729,1221,1105,1943,1834,3164
IMG_1765.JPG,watch,582,703,2205,2048,2787,2751
IMG_1674.JPG,watch,670,2123,2126,383,2796,2506
IMG_1682.JPG,watch,860,1769,2159,881,3019,2650
IMG_1665.JPG,watch,189,1836,1843,363,2032,2199
IMG_1738.JPG,watch,476,25,2505,1938,2981,1963
IMG_1739.JPG,watch,674,8,2236,1883,2910,1891
IMG_1714.JPG,watch,603,1217,982,2579,1585,3796
IMG_1751.JPG,watch,25,2768,2939,585,2964,3353
IMG_1731.JPG,watch,109,712,2328,2034,2437,2746
IMG_1678.JPG,watch,12,2110,2564,485,2576,2595
IMG_1710.JPG,watch,1016,1584,1843,830,2859,2414
IMG_1748.JPG,watch,970,1272,1729,1538,2699,2810
IMG_1744.JPG,watch,632,1078,1362,1719,1994,2797
IMG_1704.JPG,watch,999,1731,1999,670,2998,2401
IMG_1730.JPG,watch,299,964,2054,2385,2353,3349
IMG_1685.JPG,watch,59,2498,2652,577,2711,3075
IMG_1757.JPG,watch,147,2034,1940,493,2087,2527
IMG_1677.JPG,watch,4,1794,2602,573,2606,2367
IMG_1723.JPG,watch,919,286,2007,3227,2926,3513
IMG_1699.JPG,watch,506,2123,1278,1083,1784,3206
IMG_1740.JPG,watch,113,754,1645,2317,1758,3071
IMG_1697.JPG,watch,628,796,1915,1757,2543,2553
IMG_1695.JPG,watch,674,935,2350,1125,3024,2060
IMG_1675.JPG,watch,88,2022,2206,581,2294,2603
IMG_1676.JPG,watch,21,1790,2631,455,2652,2245
IMG_1754.JPG,watch,312,1238,1379,2258,1691,3496
IMG_1702.JPG,watch,687,2216,1746,269,2433,2485
IMG_1741.JPG,watch,134,1259,2185,1892,2319,3151
IMG_1745.JPG,watch,303,831,3043,1374,3346,2205
IMG_1708.JPG,watch,805,1799,2012,1605,2817,3404
IMG_1693.JPG,watch,1142,952,1548,1415,2690,2367
IMG_1742.JPG,watch,792,2081,1582,1883,2374,3964
IMG_1686.JPG,watch,742,1554,1628,1740,2370,3294
IMG_1718.JPG,watch,1191,53,1431,2579,2622,2632
IMG_1700.JPG,watch,1307,2018,1506,269,2813,2287
IMG_1690.JPG,watch,1062,846,1350,1812,2412,2658
IMG_1736.JPG,watch,1383,1348,1641,2056,3024,3404
IMG_1735.JPG,watch,215,488,1881,2288,2096,2776
IMG_1687.JPG,watch,666,1676,1586,1669,2252,3345
IMG_1713.JPG,watch,215,1369,2239,354,2454,1723
IMG_1684.JPG,watch,105,2346,2573,493,2678,2839
IMG_1705.JPG,watch,219,2313,2446,1196,2665,3509
IMG_1729.JPG,watch,582,733,2108,1870,2690,2603
IMG_1761.JPG,watch,320,1365,2636,442,2956,1807
IMG_1688.JPG,watch,767,960,1556,687,2323,1647
IMG_1681.JPG,watch,881,1470,1742,409,2623,1879
IMG_1726.JPG,watch,683,1053,2113,1913,2796,2966
IMG_1711.JPG,watch,1218,1065,1666,2212,2884,3277
IMG_1724.JPG,watch,1387,998,1582,2996,2969,3994
IMG_1725.JPG,watch,540,1624,3492,897,4032,2521
